Model,Colour,Memory,RAM,Battery_,Rear Camera [MP],Front Camera [MP],AI Lens,Mobile Height,Processor_,Prize
142,189,128,4,5000,50,16,0,16.76,76,13499
106,120,64,4,5000,50,13,0,16.76,101,16499
109,16,256,8,5000,48,13,0,16.76,4,32999
163,188,64,4,5000,64,8,0,17.07,60,11349
109,18,128,8,5000,48,13,0,16.76,4,30999
58,155,64,3,5000,8,5,0,16.66,65,9499
57,155,64,3,5000,8,5,0,16.66,57,9790
58,92,64,3,5000,8,5,0,16.66,65,9499
67,110,128,8,4500,50,32,0,17.02,71,28298
136,58,128,8,5000,108,16,0,17.02,45,23999
136,100,128,8,5000,108,16,0,17.02,45,23999
136,156,128,6,5000,108,16,0,17.02,45,22999
136,100,128,6,5000,108,16,0,17.02,45,22999
136,58,128,6,5000,108,16,0,17.02,45,22999
76,186,128,8,5000,64,16,0,16.33,62,13999
121,101,32,3,6000,8,5,0,16.56,17,7049
121,63,32,3,6000,8,5,0,16.56,17,6960
115,56,128,4,5000,13,5,0,16.51,43,9104
176,129,256,4,4600,50,50,0,17.22,48,36999
88,33,128,6,5000,13,5,0,16.59,57,9499
60,250,128,8,5000,50,8,0,16.66,75,16499
148,243,32,2,5000,8,5,0,16.51,112,6999
35,107,256,4,4610,200,60,0,16.94,90,49999
108,213,128,6,5000,50,8,0,16.76,78,21999
106,59,128,8,5000,50,13,0,16.76,101,20999
109,16,128,8,5000,48,13,0,16.76,4,30999
8,82,128,8,5000,64,16,0,17.22,105,30385
184,26,128,8,5000,50,16,0,16.71,47,19999
20,218,64,6,5000,50,16,1,17.02,50,14999
9,195,64,4,6000,13,8,0,17.32,115,8999
73,69,256,4,5000,64,16,0,16.94,80,32999
186,55,128,8,4050,50,44,0,16.36,54,19990
148,242,32,2,5000,8,5,0,16.51,112,6999
80,116,128,8,5000,64,16,0,16.94,79,19499
160,78,128,4,5000,50,8,0,16.76,116,12900
106,25,64,4,5000,50,13,0,16.76,101,16499
124,216,64,3,5000,13,8,0,16.76,36,8990
155,74,64,4,5000,50,8,0,16.76,116,10943
4,217,128,8,4270,50,8,0,16,16,55999
4,165,128,8,4270,50,8,0,16,16,55999
72,239,64,6,4000,12,20,0,15.7,91,13489
34,220,128,8,4400,50,32,0,16.64,96,34999
73,33,256,8,5000,64,16,0,16.94,80,32999
178,181,64,3,5000,13,8,0,16.54,74,11209
99,168,256,8,5000,50,16,0,16.94,44,26999
148,242,64,4,5000,8,5,0,16.51,112,8499
148,242,64,4,5000,8,5,0,16.51,112,8499
106,25,128,8,5000,50,13,0,16.76,101,20999
4,118,128,8,4270,50,8,0,16,16,55999
107,25,128,6,5000,50,8,0,16.76,70,17499
184,171,128,8,5000,50,16,0,16.71,47,19999
184,26,128,4,5000,50,16,0,16.71,47,17999
159,173,64,4,6000,50,8,0,16.51,39,11499
186,153,128,8,4050,50,44,0,16.36,54,16988
179,240,128,4,5000,13,5,0,16.54,65,12989
48,137,128,6,5000,50,16,0,16.76,75,13999
177,175,128,8,4500,64,16,0,16.21,51,23999
102,44,32,2,5000,13,5,0,16.59,18,7190
102,44,32,3,5000,13,5,0,16.59,18,7990
177,175,128,8,4500,64,16,0,16.21,51,23999
106,120,128,8,5000,50,13,0,16.76,101,20999
94,99,64,4,5000,50,13,0,16.33,102,12990
174,70,128,8,4500,64,50,0,16.36,51,27999
109,19,256,8,5000,48,13,0,16.76,4,32999
20,80,64,6,5000,50,16,1,17.02,50,14999
47,136,64,4,5000,50,16,0,16.43,75,13999
109,19,128,8,5000,48,13,0,16.76,4,30999
116,167,128,8,4500,12,32,0,16.26,122,32999
96,229,128,8,5000,50,16,0,16.76,49,19397
174,255,128,8,4500,64,50,0,16.36,51,27999
179,241,32,3,5000,13,5,0,16.54,65,10989
179,66,32,3,5000,13,5,0,16.54,65,10989
164,88,256,3,4200,64,16,0,16.69,92,17999
62,250,128,8,4500,64,32,0,16.33,75,20999
95,222,128,6,5000,108,16,0,16.33,49,16990
9,99,64,4,6000,13,8,0,17.32,115,8999
173,227,128,8,4200,64,16,0,16.36,52,29990
65,108,256,8,4300,48,32,0,16.64,94,38920
180,13,32,3,4030,13,5,0,15.8,43,9387
65,87,128,6,4300,48,16,0,16.64,94,29790
66,30,128,8,4115,48,13,0,16.36,98,24999
60,233,128,8,5000,50,8,0,16.66,75,16499
54,96,16,2,3000,5,2,0,13.84,111,5799
76,186,128,6,5000,64,16,0,16.33,62,16499
85,203,128,6,5000,13,5,0,16.59,18,10890
85,32,128,6,5000,13,5,0,16.59,18,10548
154,238,256,2,5000,50,16,0,16.81,95,32299
110,16,256,8,5000,50,32,0,16.26,11,40999
54,29,32,2,3000,5,2,0,13.84,111,6299
182,151,128,8,5000,50,16,0,16.71,38,16990
184,171,128,4,5000,50,16,0,16.71,47,17999
163,187,64,4,5000,64,8,0,17.07,40,11490
160,77,128,4,5000,50,8,0,16.76,40,12599
93,83,128,6,5000,64,13,0,16.33,61,16499
164,7,256,6,4200,64,32,0,16.69,93,17999
173,251,128,8,4200,64,16,0,16.36,52,31989
0,25,64,8,3110,12,12,0,15.49,121,41199
170,257,128,8,4700,64,16,0,16.36,85,24999
170,258,128,6,4700,64,16,0,16.36,85,23999
24,145,32,2,5000,8,8,0,16.56,32,7199
114,43,128,4,5000,50,8,0,16.76,83,15999
68,201,64,4,5000,13,5,0,16.59,30,8999
68,201,64,4,5000,13,5,0,16.59,30,8999
41,68,64,4,5000,16,8,0,16.51,58,8940
170,258,128,8,4700,64,16,0,16.36,84,24999
126,263,64,4,5000,13,5,0,16.66,33,8288
68,201,32,3,5000,13,5,0,16.59,35,8499
15,97,64,6,5000,50,8,0,16.76,118,9999
107,177,128,6,5000,50,8,0,16.76,70,17499
89,145,64,4,5000,13,5,0,16.59,34,8999
101,208,128,6,5020,48,13,0,16.59,39,14999
35,232,256,6,4610,200,60,0,16.94,90,49999
185,171,128,8,5000,50,16,0,16.71,25,19979
120,62,128,6,5000,108,32,0,17.02,51,23390
92,89,128,6,5020,48,16,0,16.94,81,14385
2,144,128,6,4323,12,12,0,17.02,23,80999
175,192,256,6,4830,64,32,0,16.66,46,30874
15,123,128,8,5000,108,8,0,16.76,118,12999
175,204,128,8,4830,64,32,0,16.66,46,35999
13,71,64,4,5200,13,8,0,16.76,37,9999
13,214,64,4,5200,13,8,0,16.76,37,9999
21,260,256,8,5000,108,16,1,17.02,63,16999
21,266,256,8,5000,108,16,1,17.02,63,16999
170,257,128,6,4700,64,16,0,16.36,85,23999
122,68,128,6,7000,50,8,0,17.53,40,13999
87,201,128,6,5000,50,5,0,17.04,39,10799
31,76,32,3,5000,13,8,0,16.55,35,7999
15,123,64,6,5000,50,8,0,16.76,118,9999
15,195,64,6,5000,50,8,0,16.76,118,9999
15,69,64,6,5000,50,8,0,16.76,118,9999
159,174,128,4,6000,50,8,0,16.51,39,11762
96,5,128,6,5000,50,16,0,16.76,49,18990
96,134,128,8,5000,50,16,0,16.76,49,18999
18,152,128,8,5000,50,16,0,17.65,42,15999
174,70,256,8,4500,64,50,0,16.36,51,29418
175,204,256,8,4830,64,32,0,16.66,46,33367
46,142,64,4,5000,50,13,0,16.26,59,11999
110,19,256,8,5000,50,32,0,16.26,11,40999
144,41,32,2,5000,8,5,0,16.51,69,7499
181,178,128,4,5000,50,8,0,16.71,75,15499
91,182,256,8,5080,64,16,0,16.76,8,29990
126,158,32,3,5000,13,5,0,16.66,33,7280
2,193,128,3,4323,12,12,0,17.02,2,80999
126,262,64,4,5000,13,5,0,16.66,56,8999
8,82,256,4,5000,64,16,0,17.22,9,34688
139,140,64,4,5000,48,16,0,16.51,49,13499
